Restaurant ID,Country Code,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country
6317637,162,0,0,0,121.027535,14.565443,0,1100.0,0,1,0,0,3.0,4.8,314,0
6304287,162,0,1,1,121.014101,14.553708,1,1200.0,0,1,0,0,3.0,4.5,591,0
6300002,162,1,2,2,121.056831,14.581404,2,4000.0,0,1,0,0,4.0,4.4,270,0
6318506,162,1,3,3,121.056475,14.585318,3,1500.0,0,0,0,0,4.0,4.9,365,0
6314302,162,1,4,3,121.057508,14.58445,4,1500.0,0,1,0,0,4.0,4.8,229,0
18189371,162,1,5,3,121.056314,14.583764,5,1000.0,0,0,0,0,3.0,4.4,336,0
6300781,162,2,6,4,120.9796667,14.53133333,6,2000.0,0,1,0,0,4.0,4.0,520,0
6301290,162,2,7,4,120.9793333,14.54,7,2000.0,0,1,0,0,4.0,4.2,677,0
6300010,162,2,8,5,120.98009,14.55299,8,6000.0,0,1,0,0,4.0,4.9,621,0
6314987,162,3,9,6,121.056532,14.572041,9,1100.0,0,1,0,0,3.0,4.8,532,0
6309903,162,3,10,6,121.057916,14.567689,10,800.0,0,0,0,0,3.0,4.9,1070,0
6309455,162,3,11,6,121.06082,14.570849,11,900.0,0,1,0,0,3.0,4.2,488,0
6318433,162,4,12,7,121.075419,14.649503,10,800.0,0,0,0,0,3.0,4.8,294,0
6310470,162,5,13,8,121.0335917,14.59345,9,1000.0,0,1,0,0,3.0,4.2,458,0
6314605,162,5,14,9,121.03811,14.59889,12,700.0,0,0,0,0,3.0,4.3,223,0
18185059,162,6,15,10,121.05704,14.237082,13,800.0,0,0,0,0,3.0,3.6,29,0
18182702,162,6,16,11,121.0565874,14.23767897,14,850.0,0,0,0,0,3.0,4.0,72,0
6318213,162,7,17,12,120.951589,14.101834,9,1200.0,0,1,0,0,3.0,4.5,211,0
18255654,162,8,18,13,121.045878,14.55436,15,600.0,0,0,0,0,2.0,4.5,118,0
6308205,162,8,19,14,121.04622,14.549337,16,400.0,0,1,0,0,4.0,4.4,392,0
6315438,162,8,20,15,121.053725,14.545858,17,3000.0,0,1,0,0,4.0,4.7,535,0
6310406,162,8,21,15,121.0534998,14.54565535,18,1800.0,0,1,0,0,4.0,4.5,618,0
6600681,30,9,22,16,-47.88178889,-15.76414167,19,55.0,1,0,0,0,2.0,3.0,6,1
6601005,30,9,23,16,-47.88266667,-15.7775,20,30.0,1,0,0,0,1.0,3.8,9,1
6600292,30,9,24,16,-47.88213611,-15.75747222,21,45.0,1,0,0,0,2.0,3.7,11,1
6600441,30,9,25,16,-47.88816667,-15.75883333,22,60.0,1,0,0,0,3.0,3.8,11,1
6600970,30,9,26,17,-47.91566667,-15.83116667,23,50.0,1,0,0,0,2.0,3.2,11,1
6600379,30,9,27,17,-47.91566667,-15.831,1,80.0,1,0,0,0,3.0,3.1,10,1
6600214,30,9,28,17,-47.9075,-15.82,24,90.0,1,0,0,0,3.0,3.7,8,1
6601218,30,9,29,17,-47.91016667,-15.82733333,1,200.0,1,0,0,0,4.0,3.7,5,1
6600060,30,9,30,17,-47.89016667,-15.797,25,30.0,1,0,0,0,1.0,0.0,2,1
6600083,30,9,31,17,-47.92366667,-15.83133333,26,150.0,1,0,0,0,4.0,4.1,12,1
6601515,30,9,32,18,-48.019,-15.83716667,23,100.0,1,0,0,0,4.0,3.1,9,1
6601361,30,9,33,18,-48.01909167,-15.839775,27,60.0,1,0,0,0,3.0,3.6,9,1
6601602,30,9,34,18,-48.01666667,-15.83483333,28,100.0,1,0,0,0,4.0,4.3,29,1
6601589,30,9,35,19,-47.889,-15.7865,29,230.0,1,0,0,0,4.0,4.2,17,1
6601862,30,9,36,20,-47.872359,-15.860621,30,100.0,1,0,0,0,4.0,3.6,5,1
6601595,30,9,37,21,-47.95628333,-15.83451389,31,150.0,1,0,0,0,4.0,4.0,10,1
6601158,30,9,38,22,-47.87283333,-15.82566667,32,240.0,1,0,0,0,4.0,3.2,6,1
6600427,30,9,39,23,-47.8685,-15.819,29,230.0,1,0,0,0,4.0,4.9,30,1
6600116,30,9,40,24,-47.885812,-15.720118,26,350.0,1,0,0,0,4.0,3.3,8,1
6601457,30,9,41,25,-47.92102778,-15.79753056,33,50.0,1,0,0,0,2.0,3.6,9,1
7303219,30,10,42,26,-43.377,-23.0115,34,140.0,1,0,0,0,4.0,4.0,7,1
7304307,30,10,43,27,-43.178826,-22.905293,35,100.0,1,0,0,0,4.0,4.8,29,1
7301215,30,10,44,28,-43.18669167,-22.97207222,36,60.0,1,0,0,0,3.0,4.7,24,1
7300596,30,10,45,28,-43.17583333,-22.96216667,37,90.0,1,0,0,0,3.0,4.5,29,1
7300612,30,10,46,28,-43.176,-22.96516667,38,170.0,1,0,0,0,4.0,4.2,11,1
7300704,30,10,47,29,-43.191,-22.98683333,39,60.0,1,0,0,0,3.0,4.8,19,1
7300955,30,10,48,30,-43.227042,-22.973507,40,100.0,1,0,0,0,4.0,4.9,40,1
7300521,30,10,49,31,-43.211425,-22.98520833,41,90.0,1,0,0,0,3.0,4.6,21,1
7300515,30,10,50,31,-43.203,-22.98533333,40,120.0,1,0,0,0,4.0,4.9,49,1
7300483,30,10,51,31,-43.20520833,-22.98531944,22,170.0,1,0,0,0,4.0,4.6,21,1
7301064,30,10,52,32,-43.219563,-22.966647,22,90.0,1,0,0,0,3.0,4.3,14,1
7304312,30,10,53,33,-43.34879167,-22.99991111,26,150.0,1,0,0,0,4.0,4.0,5,1
7300004,30,10,54,34,-43.227,-22.98416667,1,250.0,1,0,0,0,4.0,4.6,25,1
7300868,30,10,55,34,-43.22566667,-22.98516667,42,120.0,1,0,0,0,2.0,4.4,13,1
7302637,30,10,56,35,-43.17279167,-22.963925,22,40.0,1,0,0,0,2.0,4.2,7,1
7302140,30,10,57,35,-43.17126389,-22.96337222,43,250.0,1,0,0,0,4.0,4.2,8,1
7305048,30,10,58,36,-43.341164,-22.870413,27,70.0,1,0,0,0,3.0,0.0,1,1
7302898,30,10,59,37,-43.18736944,-22.92481389,22,300.0,1,0,0,0,4.0,4.7,44,1
7302859,30,10,60,38,-43.21551111,-22.91370833,40,85.0,1,0,0,0,3.0,4.6,24,1
7301700,30,10,61,39,-43.16266667,-22.94783333,40,80.0,1,0,0,0,3.0,4.3,10,1
6706313,30,11,62,40,-46.64516667,-23.55066667,14,250.0,1,0,0,0,4.0,4.5,49,1
6704326,30,11,63,40,-46.64633333,-23.559,44,250.0,1,0,0,0,4.0,4.4,17,1
6711179,30,11,64,41,-46.65866667,-23.55616667,45,70.0,1,0,0,0,3.0,3.1,5,1
6702797,30,11,65,41,-46.657523,-23.55671,22,100.0,1,0,0,0,4.0,4.1,15,1
6700475,30,11,66,42,-46.666851,-23.581688,46,300.0,1,0,0,0,4.0,4.8,59,1
6713413,30,11,67,43,-46.67511,-23.582135,47,120.0,1,0,0,0,4.0,4.6,30,1
6714340,30,11,68,43,-46.683888,-23.585324,48,75.0,1,0,0,0,3.0,3.9,5,1
6710645,30,11,69,43,-46.67566667,-23.581,22,55.0,1,0,0,0,2.0,0.0,0,1
6700402,30,11,70,44,-46.666041,-23.561568,49,200.0,1,0,0,0,4.0,3.4,73,1
6700846,30,11,71,44,-46.657418,-23.571638,50,120.0,1,0,0,0,4.0,3.5,9,1
